Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,75.48158264160156,173788400
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,77.97349548339844,136616400
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,78.60932159423828,118826800
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,79.52880096435547,105425600
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,78.44779968261719,117684000
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.82038116455078,109348800
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,78.34484100341797,94323200
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,80.2053451538086,113730400
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,79.63421630859375,94747600
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,79.65380859375,80113600
2020-02-18,78.83999633789062,79.9375,78.65249633789062,79.75,78.1953125,152531200
2020-02-19,80.0,81.14250183105469,80.0,80.90499877929688,79.32779693603516,93984000
2020-02-20,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,78.51397705078125,100566000
2020-02-21,79.65499877929688,80.11250305175781,77.625,78.26249694824219,76.7367935180664,129554000
2020-02-24,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,73.091796875,222195200
2020-02-25,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,70.61599731445312,230673600
2020-02-26,71.63249969482422,74.47000122070312,71.625,73.1624984741211,71.7362289428711,198054800
2020-02-27,70.2750015258789,71.5,68.23999786376953,68.37999725341797,67.0469741821289,320605600
2020-02-28,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,67.00773620605469,426510000
2020-03-02,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,73.24620819091797,341397200
2020-03-03,75.9175033569336,76.0,71.44999694824219,72.33000183105469,70.91996002197266,319475600
2020-03-04,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,74.20954895019531,219178400
2020-03-05,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,71.80242919921875,187572800
2020-03-06,70.5,72.70500183105469,70.30750274658203,72.25749969482422,70.84886932373047,226176800
2020-03-09,65.9375,69.52249908447266,65.75,66.5425033569336,65.24530792236328,286744800
2020-03-10,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,69.94436645507812,285290000
2020-03-11,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,67.51515197753906,255598800
2020-03-12,63.98500061035156,67.5,62.0,62.057498931884766,60.847721099853516,418474000
2020-03-13,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,68.13777160644531,370732000
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.3720588684082,322423600
2020-03-17,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,61.9826545715332,324056000
2020-03-18,59.942501068115234,62.5,59.279998779296875,61.66749954223633,60.46532440185547,300233600
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,60.00202941894531,271857200
